nev;szulEv;halEv;nemzetiseg;cim;helyezes
Móra Ferenc;1879;1934;magyar;Kincskereső kisködmön;29
Mark Twain;1835;1910;amerikai;Koldus és királyfi;101
Mikszáth Kálmán;1847;1910;magyar;Különös házasság;101
Eric Knight;1897;1943;angol;Lassie hazatér;49
Eric Knight;1897;1943;angol;Légy hű magadhoz;73
Móricz Zsigmond;1879;1942;magyar;Légy jó mindhalálig;18
Robert Merle;1908;2004;francia;Malevil;84
Vavyan Fable;1956;;magyar;Mesemaraton;101
Robert Merle;1908;2004;francia;Mesterségem a halál;63
Alan Alexander Milne;1882;1956;angol;Micimackó;6
Alexandre Dumas;1802;1870;francia;Monte Cristo grófja;24
James Jones;1921;1977;amerikai;Most és mindörökké;101
Jókai Anna;1932;2017;magyar;Ne féljetek;97
Jules Verne;1828;1905;francia;Nemo kapitány;101
Irwin Shaw;1913;1984;amerikai;Oroszlánkölykök;67
Kosztolányi Dezső;1885;1936;magyar;Pacsirta;101
Nógrádi Gábor;1947;;magyar;Pete Pite;101
Nógrádi Gábor;1947;;magyar;PetePite;99
Henri Charri?re;1906;1973;francia;Pillangó;101
Rejtő Jenő;1905;1943;magyar;Piszkos Fred, a kapitány;37
Faludy György;1910;2006;magyar;Pokolbéli víg napjaim;98
Henryk Sienkiewicz;1846;1916;lengyel;Quo vadis;30
Szabó Magda;1917;2007;magyar;Régimódi történet;91
A. J. Cronin;1896;1981;angol;Réztábla a kapu alatt;101
Daniel Defoe;1660;1731;angol;Robinson Crusoe;62
Móricz Zsigmond;1879;1942;magyar;Rokonok;101
Kertész Imre;1929;2016;magyar;Sorstalanság;27
Jaroslav Hašek;1883;1923;cseh;Švejk;66
Ken Kesey;1935;2001;amerikai;Száll a kakukk fészkére;101
Gabriel García Márquez;1927;2014;kolumbiai;Száz év magány;12
Mikszáth Kálmán;1847;1910;magyar;Szent Péter esernyője;35
Gabriel García Márquez;1927;2014;kolumbiai;Szerelem a kolera idején;79
Mika Waltari;1908;1979;finn;Szinuhe;101
Fekete István;1900;1970;magyar;Téli berek;51
Kálnay Adél;1952;;magyar;Titkok egy régi kertben;101
Agatha Christie;1890;1976;angol;Tíz kicsi néger;101
Mark Twain;1835;1910;amerikai;Tom Sawyer kalandjai;101
Örkény István;1912;1979;magyar;Tóték;58
Fekete István;1900;1970;magyar;Tüskevár;11
Szerb Antal;1901;1945;magyar;Utas és holdvilág;87
Karinthy Frigyes;1887;1938;magyar;Utazás a koponyám körül;77
Emily Brontë;1818;1848;angol;Üvöltő szelek;39
Robert Merle;1908;2004;francia;Védett férfiak;101
Galgóczi Erzsébet;1930;1989;magyar;Vidravas;101
Daniel Keyes;1927;2014;amerikai;Virágot Algernonnak;59
Stendhal;1783;1842;francia;Vörös és fekete;41
Fekete István;1900;1970;magyar;Vuk;19
Karl May;1842;1912;német;Winnetou;50
Jerome David Salinger;1919;2010;amerikai;Zabhegyező;42
